correlationId,callSite,tier,model,inputTokens,outputTokens,reasoningTokens,cacheTokens,usageSource,costUsd,latencyMs,error
d4519f93-529a-4fbd-93ed-1c13fada97f6,rerank,smart,gpt-5.6-luna,3083,397,214,0,usage_metadata,0.001093,3636,
0473e20d-91ca-42c0-a7fa-0616a142836e,decompose,fast,gpt-5-nano,2964,150,0,2816,usage_metadata,0.0002082,2307,
14f766ad-bdf3-4dff-8140-2cceda62b881,rerank,smart,gpt-5.6-luna,557,149,79,0,usage_metadata,0.0002902,1800,
37cea5f5-512a-42d7-85f4-46995785ada8,decompose,fast,gpt-5-nano,2965,174,0,2816,usage_metadata,0.00021785000000000004,2450,
16a18b86-3bb2-41d9-bc38-95df15d0b104,rerank,smart,gpt-5.6-luna,3245,657,352,3242,usage_metadata,0.0014373999999999997,8709,
29c13a04-93f4-4583-afec-a0bf15a247fa,decompose,fast,gpt-5-nano,2963,166,0,2816,usage_metadata,0.00021455,2491,
c7dee10c-9294-4096-8259-9a20ae0026e3,rerank,smart,gpt-5.6-luna,616,237,136,0,usage_metadata,0.0004076,2631,
8652df3c-6241-42c4-b59b-95a09cf76987,decompose,fast,gpt-5-nano,2968,181,0,2816,usage_metadata,0.0002208,2443,
0ef2f4d3-fc66-428b-b43b-2290aa121d12,rerank,smart,gpt-5.6-luna,557,133,67,0,usage_metadata,0.00027100000000000003,1679,
59389b86-8b57-4313-8b42-e28c398a7a2f,decompose,fast,gpt-5-nano,2967,177,0,2816,usage_metadata,0.00021915000000000001,2623,
fa241be8-3fce-4591-8688-992734fb3eeb,rerank,smart,gpt-5.6-luna,920,601,377,0,usage_metadata,0.0009052,5094,
59558090-1c04-4983-ab35-c9f6321647f9,decompose,fast,gpt-5-nano,2965,173,0,2816,usage_metadata,0.00021745000000000003,2319,
f681cca1-2053-4cf9-bdd1-540b85f08edb,rerank,smart,gpt-5.6-luna,554,164,89,0,usage_metadata,0.0003076,2304,
1868fcdd-af87-434c-9e67-bff0df88ee24,decompose,fast,gpt-5-nano,2963,163,0,2816,usage_metadata,0.00021335,2516,
53e390e4-9a83-4fb5-bf5d-98e3433a0e89,rerank,smart,gpt-5.6-luna,2905,606,232,2902,usage_metadata,0.0013082,5037,
