correlationId,callSite,tier,model,inputTokens,outputTokens,reasoningTokens,cacheTokens,usageSource,costUsd,latencyMs,error
7c7c7ed6-a7d8-4ccc-8302-c1f7d842aeea,rerank,smart,gpt-5.6-luna,699,153,82,0,usage_metadata,0.0003234,1833,
259dbe27-8f52-4f01-9b34-5eb248c87ced,decompose,fast,gpt-5-nano,3047,229,0,2944,usage_metadata,0.00024395,3109,
9cc90f9c-b6cc-4d3b-9994-d03dc403252e,rerank,smart,gpt-5.6-luna,3188,783,478,0,usage_metadata,0.0015772,7553,
7b403171-6a71-4ae0-ab71-f2c08ed079f5,decompose,fast,gpt-5-nano,3045,217,0,2944,usage_metadata,0.00023904999999999998,2898,
5696b2cd-3261-40a1-b826-221d0852a087,rerank,smart,gpt-5.6-luna,758,237,123,0,usage_metadata,0.00043599999999999997,2791,
596bf46a-f645-4425-9786-20b048247f5b,decompose,fast,gpt-5-nano,3050,191,0,2944,usage_metadata,0.00022889999999999998,2623,
cafba395-4493-4325-a5f6-2236c4f1baf6,rerank,smart,gpt-5.6-luna,699,173,104,0,usage_metadata,0.0003474,2277,
1102cc50-4ead-410e-8742-aa1b53cb5465,decompose,fast,gpt-5-nano,3049,181,0,2944,usage_metadata,0.00022485,2537,
47ce779f-97fd-4ebe-b4b8-37767121abd3,rerank,smart,gpt-5.6-luna,1062,382,233,1059,usage_metadata,0.0006707999999999999,3814,
6841c3e1-e823-4755-8506-bca9697cc1c5,decompose,fast,gpt-5-nano,3047,182,0,2944,usage_metadata,0.00022515000000000002,3133,
b48c60e2-3385-40e0-9b2c-5eeadc0486b1,rerank,smart,gpt-5.6-luna,696,135,69,0,usage_metadata,0.0003012,2009,
03eb2eec-1b5b-4918-91fb-de0ee28cb300,decompose,fast,gpt-5-nano,3045,225,0,2944,usage_metadata,0.00024225000000000003,2674,
8f098469-72a9-4156-9ad7-61513baa9ea0,rerank,smart,gpt-5.6-luna,790,178,75,0,usage_metadata,0.0003716,2164,
